structure_id,material_class,formula,variant,file_path
2d_monolayer_C_ideal_UC,2D Monolayer,C,ideal_UC,2d_monolayer/2d_monolayer_C_ideal_UC.xyz
2d_monolayer_C_ideal_4x4,2D Monolayer,C,ideal_4x4,2d_monolayer/2d_monolayer_C_ideal_4x4.xyz
2d_monolayer_C_vacancy_4x4,2D Monolayer,C,vacancy_4x4,2d_monolayer/2d_monolayer_C_vacancy_4x4.xyz
2d_monolayer_BN_ideal_UC,2D Monolayer,BN,ideal_UC,2d_monolayer/2d_monolayer_BN_ideal_UC.xyz
2d_monolayer_BN_ideal_4x4,2D Monolayer,BN,ideal_4x4,2d_monolayer/2d_monolayer_BN_ideal_4x4.xyz
2d_monolayer_BN_B_vacancy_4x4,2D Monolayer,BN,B_vacancy_4x4,2d_monolayer/2d_monolayer_BN_B_vacancy_4x4.xyz
2d_monolayer_BN_N_vacancy_4x4,2D Monolayer,BN,N_vacancy_4x4,2d_monolayer/2d_monolayer_BN_N_vacancy_4x4.xyz
2d_monolayer_BN_B_antisite_4x4,2D Monolayer,BN,B_antisite_4x4,2d_monolayer/2d_monolayer_BN_B_antisite_4x4.xyz
2d_monolayer_MoS2_ideal_UC,2D Monolayer,MoS2,ideal_UC,2d_monolayer/2d_monolayer_MoS2_ideal_UC.xyz
2d_monolayer_MoS2_ideal_4x4,2D Monolayer,MoS2,ideal_4x4,2d_monolayer/2d_monolayer_MoS2_ideal_4x4.xyz
2d_monolayer_MoS2_S_vacancy_4x4,2D Monolayer,MoS2,S_vacancy_4x4,2d_monolayer/2d_monolayer_MoS2_S_vacancy_4x4.xyz
2d_monolayer_MoS2_Mo_vacancy_4x4,2D Monolayer,MoS2,Mo_vacancy_4x4,2d_monolayer/2d_monolayer_MoS2_Mo_vacancy_4x4.xyz
2d_monolayer_WS2_ideal_UC,2D Monolayer,WS2,ideal_UC,2d_monolayer/2d_monolayer_WS2_ideal_UC.xyz
2d_monolayer_WS2_ideal_4x4,2D Monolayer,WS2,ideal_4x4,2d_monolayer/2d_monolayer_WS2_ideal_4x4.xyz
2d_monolayer_WS2_S_vacancy_4x4,2D Monolayer,WS2,S_vacancy_4x4,2d_monolayer/2d_monolayer_WS2_S_vacancy_4x4.xyz
2d_monolayer_MoSe2_ideal_UC,2D Monolayer,MoSe2,ideal_UC,2d_monolayer/2d_monolayer_MoSe2_ideal_UC.xyz
2d_monolayer_MoSe2_Se_vacancy_4x4,2D Monolayer,MoSe2,Se_vacancy_4x4,2d_monolayer/2d_monolayer_MoSe2_Se_vacancy_4x4.xyz
2d_monolayer_P_ideal_UC,2D Monolayer,P,ideal_UC,2d_monolayer/2d_monolayer_P_ideal_UC.xyz
2d_monolayer_P_ideal_3x3,2D Monolayer,P,ideal_3x3,2d_monolayer/2d_monolayer_P_ideal_3x3.xyz
2d_monolayer_P_vacancy_3x3,2D Monolayer,P,vacancy_3x3,2d_monolayer/2d_monolayer_P_vacancy_3x3.xyz
intermetallic_Ni3Al_L12_ideal_UC,Intermetallic,Ni3Al,L12_ideal_UC,intermetallic/intermetallic_Ni3Al_L12_ideal_UC.xyz
intermetallic_Ni3Al_L12_ideal_2x2x2,Intermetallic,Ni3Al,L12_ideal_2x2x2,intermetallic/intermetallic_Ni3Al_L12_ideal_2x2x2.xyz
intermetallic_Ni3Al_L12_Ni_vacancy,Intermetallic,Ni3Al,L12_Ni_vacancy,intermetallic/intermetallic_Ni3Al_L12_Ni_vacancy.xyz
intermetallic_Ni3Al_L12_Al_antisite,Intermetallic,Ni3Al,L12_Al_antisite,intermetallic/intermetallic_Ni3Al_L12_Al_antisite.xyz
intermetallic_NiAl_B2_ideal_UC,Intermetallic,NiAl,B2_ideal_UC,intermetallic/intermetallic_NiAl_B2_ideal_UC.xyz
intermetallic_NiAl_B2_ideal_3x3x3,Intermetallic,NiAl,B2_ideal_3x3x3,intermetallic/intermetallic_NiAl_B2_ideal_3x3x3.xyz
intermetallic_NiAl_B2_Ni_vacancy,Intermetallic,NiAl,B2_Ni_vacancy,intermetallic/intermetallic_NiAl_B2_Ni_vacancy.xyz
intermetallic_NiAl_B2_Ni_antisite,Intermetallic,NiAl,B2_Ni_antisite,intermetallic/intermetallic_NiAl_B2_Ni_antisite.xyz
intermetallic_FePt_L10_ideal_UC,Intermetallic,FePt,L10_ideal_UC,intermetallic/intermetallic_FePt_L10_ideal_UC.xyz
intermetallic_FePt_L10_ideal_3x3x2,Intermetallic,FePt,L10_ideal_3x3x2,intermetallic/intermetallic_FePt_L10_ideal_3x3x2.xyz
intermetallic_FePt_L10_Pt_antisite,Intermetallic,FePt,L10_Pt_antisite,intermetallic/intermetallic_FePt_L10_Pt_antisite.xyz
intermetallic_FePt_L10_Fe_vacancy,Intermetallic,FePt,L10_Fe_vacancy,intermetallic/intermetallic_FePt_L10_Fe_vacancy.xyz
intermetallic_Fe3Al_DO3_ideal_UC,Intermetallic,Fe3Al,DO3_ideal_UC,intermetallic/intermetallic_Fe3Al_DO3_ideal_UC.xyz
intermetallic_Fe3Al_DO3_Fe_vacancy,Intermetallic,Fe3Al,DO3_Fe_vacancy,intermetallic/intermetallic_Fe3Al_DO3_Fe_vacancy.xyz
intermetallic_Fe3Al_DO3_Al_antisite,Intermetallic,Fe3Al,DO3_Al_antisite,intermetallic/intermetallic_Fe3Al_DO3_Al_antisite.xyz
intermetallic_Cu3Au_L12_ideal_UC,Intermetallic,Cu3Au,L12_ideal_UC,intermetallic/intermetallic_Cu3Au_L12_ideal_UC.xyz
intermetallic_Cu3Au_L12_ideal_2x2x2,Intermetallic,Cu3Au,L12_ideal_2x2x2,intermetallic/intermetallic_Cu3Au_L12_ideal_2x2x2.xyz
intermetallic_Cu3Au_L12_Au_antisite,Intermetallic,Cu3Au,L12_Au_antisite,intermetallic/intermetallic_Cu3Au_L12_Au_antisite.xyz
intermetallic_Cu3Au_L12_Cu_vacancy,Intermetallic,Cu3Au,L12_Cu_vacancy,intermetallic/intermetallic_Cu3Au_L12_Cu_vacancy.xyz
intermetallic_NiTi_B19prime_ideal_UC,Intermetallic,NiTi,B19prime_ideal_UC,intermetallic/intermetallic_NiTi_B19prime_ideal_UC.xyz
intermetallic_NiTi_B19prime_Ni_vacancy,Intermetallic,NiTi,B19prime_Ni_vacancy,intermetallic/intermetallic_NiTi_B19prime_Ni_vacancy.xyz
bcc_hea_NbTaVHfZrTi_equiatomic_128_ideal,BCC HEA,NbTaVHfZrTi,equiatomic_128_ideal,bcc_hea/bcc_hea_NbTaVHfZrTi_equiatomic_128_ideal.xyz
bcc_hea_NbTaVHfZrTi_equiatomic_128_Nb_vacancy,BCC HEA,NbTaVHfZrTi,equiatomic_128_Nb_vacancy,bcc_hea/bcc_hea_NbTaVHfZrTi_equiatomic_128_Nb_vacancy.xyz
bcc_hea_NbTaVHfZrTi+H_equiatomic_128_H_interstitial,BCC HEA,NbTaVHfZrTi+H,equiatomic_128_H_interstitial,bcc_hea/bcc_hea_NbTaVHfZrTi+H_equiatomic_128_H_interstitial.xyz
bcc_hea_NbTaVHfZrTi_equiatomic_128_random1,BCC HEA,NbTaVHfZrTi,equiatomic_128_random1,bcc_hea/bcc_hea_NbTaVHfZrTi_equiatomic_128_random1.xyz
bcc_hea_NbTaVHfZrTi_equiatomic_128_random2,BCC HEA,NbTaVHfZrTi,equiatomic_128_random2,bcc_hea/bcc_hea_NbTaVHfZrTi_equiatomic_128_random2.xyz
bcc_hea_NbTaVHfZrTi_equiatomic_128_random3,BCC HEA,NbTaVHfZrTi,equiatomic_128_random3,bcc_hea/bcc_hea_NbTaVHfZrTi_equiatomic_128_random3.xyz
critical_minerals_TiO2_rutile_ideal,Critical Mineral,TiO2,rutile_ideal,critical_minerals/critical_minerals_TiO2_rutile_ideal.xyz
critical_minerals_TiO2_rutile_ideal_2x2x3,Critical Mineral,TiO2,rutile_ideal_2x2x3,critical_minerals/critical_minerals_TiO2_rutile_ideal_2x2x3.xyz
critical_minerals_TiO2_rutile_O_vacancy,Critical Mineral,TiO2,rutile_O_vacancy,critical_minerals/critical_minerals_TiO2_rutile_O_vacancy.xyz
critical_minerals_TiO2_rutile_Ti_vacancy,Critical Mineral,TiO2,rutile_Ti_vacancy,critical_minerals/critical_minerals_TiO2_rutile_Ti_vacancy.xyz
critical_minerals_CeO2_fluorite_ideal,Critical Mineral,CeO2,fluorite_ideal,critical_minerals/critical_minerals_CeO2_fluorite_ideal.xyz
