best_final_max_force_eV_per_A,best_steps,case,cold_converged,cold_scf_total,cold_steps,cold_wall_time_sec,converged,delta_energy_ev,delta_scf_iterations,delta_steps,final_energy_eV,final_max_force_eV_per_A,fixture,hydragnn_final_energy_eV,hydragnn_final_max_force_eV_per_A,hydragnn_num_steps,is_unreliable,job_id,lowest_energy_eV,lowest_energy_structure,mean_entropy,mean_top_weight,n_relaxations,num_steps,optimized_structure,reason,run_dir,run_root,source_file,speedup,status,structure,warm_converged,warm_helped,warm_scf_total,warm_steps,warm_wall_time_sec,workflow
0.0014,1,hea_bcc,,,,,,,,,,,,,,,,54683468,-0.0098,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/matsim-agents/examples/paper_cases/seeds/hea_bcc_bcc_random_optimized_structure.extxyz,,,1,,,,/global/cfs/projectdirs/m5216/mlupopa/runs/singlepass-paper-54683468,/global/cfs/projectdirs/m5216/mlupopa/runs,/global/cfs/projectdirs/m5216/mlupopa/runs/singlepass-paper-54683468/job-54683468.out,,ok,,,,,,,singlepass
0.0006,1,hea_fcc,,,,,,,,,,,,,,,,54683468,-0.0006,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/matsim-agents/examples/paper_cases/seeds/hea_fcc_fcc_random_optimized_structure.extxyz,,,1,,,,/global/cfs/projectdirs/m5216/mlupopa/runs/singlepass-paper-54683468,/global/cfs/projectdirs/m5216/mlupopa/runs,/global/cfs/projectdirs/m5216/mlupopa/runs/singlepass-paper-54683468/job-54683468.out,,ok,,,,,,,singlepass
0.0003,1,lifepo4,,,,,,,,,,,,,,,,54683468,-0.0118,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/matsim-agents/examples/paper_cases/seeds/lifepo4_olivine_optimized_structure.extxyz,,,1,,,,/global/cfs/projectdirs/m5216/mlupopa/runs/singlepass-paper-54683468,/global/cfs/projectdirs/m5216/mlupopa/runs,/global/cfs/projectdirs/m5216/mlupopa/runs/singlepass-paper-54683468/job-54683468.out,,ok,,,,,,,singlepass
0.0001,1,phosphorene,,,,,,,,,,,,,,,,54683468,0.0048,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/matsim-agents/examples/paper_cases/seeds/phosphorene_black_P_optimized_structure.extxyz,,,2,,,,/global/cfs/projectdirs/m5216/mlupopa/runs/singlepass-paper-54683468,/global/cfs/projectdirs/m5216/mlupopa/runs,/global/cfs/projectdirs/m5216/mlupopa/runs/singlepass-paper-54683468/job-54683468.out,,ok,,,,,,,singlepass
0.0018,1,zn_formate,,,,,,,,,,,,,,,,54683468,-0.0054,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/matsim-agents/examples/paper_cases/seeds/zn_formate_beta_optimized_structure.extxyz,,,2,,,,/global/cfs/projectdirs/m5216/mlupopa/runs/singlepass-paper-54683468,/global/cfs/projectdirs/m5216/mlupopa/runs,/global/cfs/projectdirs/m5216/mlupopa/runs/singlepass-paper-54683468/job-54683468.out,,ok,,,,,,,singlepass
,,,,,,,True,,,,0.000121,2.7e-05,,,,,0,54352943,,,0.001006,0.999693,,1,/global/cfs/cdirs/amsc001/cm2us/mlupopa/runs/active-learning-uq-54352943/outputs/Si/Si_optimized_structure.vasp,confidence within thresholds,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs/active-learning-uq-54352943,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs/active-learning-uq-54352943/outputs/uq_summary.csv,,,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/matsim-agents/tests/integration/data/Si.vasp,,,,,,uq
,,,,,,,True,,,,-0.014714,2.8e-05,,,,,0,54352943,,,0.0,1.0,,1,/global/cfs/cdirs/amsc001/cm2us/mlupopa/runs/active-learning-uq-54352943/outputs/MgO/MgO_optimized_structure.vasp,confidence within thresholds,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs/active-learning-uq-54352943,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs/active-learning-uq-54352943/outputs/uq_summary.csv,,,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/matsim-agents/tests/integration/data/MgO.vasp,,,,,,uq
,,,,,,,True,,,,-0.014515,0.002395,,,,,0,54352943,,,0.000164,0.999961,,1,/global/cfs/cdirs/amsc001/cm2us/mlupopa/runs/active-learning-uq-54352943/outputs/MoNbTaW_HEA/MoNbTaW_HEA_optimized_structure.vasp,confidence within thresholds,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs/active-learning-uq-54352943,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs/active-learning-uq-54352943/outputs/uq_summary.csv,,,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/matsim-agents/tests/integration/data/MoNbTaW_HEA.vasp,,,,,,uq
,,,True,32,4,10.09,,0.0,0,0,,,Si,0.00012114176789990782,2.6787733145774365e-05,1,,54511140,,,,,,,,,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs/qe-warmstart-54511140,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs/qe-warmstart-54511140/pytest-tmp/test_hydragnn_warmstart_helps_0/Si_diamond/comparison.json,1.0,,/global/cfs/cdirs/amsc001/cm2us/mlupopa/runs/qe-warmstart-54511140/pytest-tmp/test_hydragnn_warmstart_helps_0/Si_diamond/Si.vasp,True,True,32,4,8.81,warmstart_qe
0.0014,1,hea_bcc,,,,,,,,,,,,,,,,54683468,-0.0098,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/matsim-agents/examples/paper_cases/seeds/hea_bcc_bcc_random_optimized_structure.extxyz,,,1,,,,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs/singlepass-paper-54683468,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs/singlepass-paper-54683468/job-54683468.out,,ok,,,,,,,singlepass
0.0006,1,hea_fcc,,,,,,,,,,,,,,,,54683468,-0.0006,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/matsim-agents/examples/paper_cases/seeds/hea_fcc_fcc_random_optimized_structure.extxyz,,,1,,,,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs/singlepass-paper-54683468,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs/singlepass-paper-54683468/job-54683468.out,,ok,,,,,,,singlepass
0.0003,1,lifepo4,,,,,,,,,,,,,,,,54683468,-0.0118,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/matsim-agents/examples/paper_cases/seeds/lifepo4_olivine_optimized_structure.extxyz,,,1,,,,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs/singlepass-paper-54683468,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs/singlepass-paper-54683468/job-54683468.out,,ok,,,,,,,singlepass
0.0001,1,phosphorene,,,,,,,,,,,,,,,,54683468,0.0048,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/matsim-agents/examples/paper_cases/seeds/phosphorene_black_P_optimized_structure.extxyz,,,2,,,,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs/singlepass-paper-54683468,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs/singlepass-paper-54683468/job-54683468.out,,ok,,,,,,,singlepass
0.0018,1,zn_formate,,,,,,,,,,,,,,,,54683468,-0.0054,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/matsim-agents/examples/paper_cases/seeds/zn_formate_beta_optimized_structure.extxyz,,,2,,,,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs/singlepass-paper-54683468,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs,/global/cfs/projectdirs/amsc001/cm2us/mlupopa/runs/singlepass-paper-54683468/job-54683468.out,,ok,,,,,,,singlepass
